System Name,Account Name,Current Password,Dflt Change Frequency,Release Duration,Auto-Password Mgmt,Change Time (HH24:MM),Next Change Dt,Password Rule Name,Change Services Flag,Use Current Password Flag,Required Approvers,Domain Account Name,Release Notify Email,Check Flag,Reset Flag,Release Change Flag,Max Release Duration,Account Description,Require Ticket for Request,Ticket System,Require Ticket for ISA Retrieve,Require Ticket for CLI Retrieve,Require Ticket for API Retrieve,Ticket Notification Email,Reviews Required,Reviewer Type,Reviewer,Escalation Email,Escalation Time (hours),Account Locked,Simultaneous Privileged Access Releases,Block Auto Password Change,Ignore System Policies,Account Custom 1,Account Custom 2,Account Custom 3,Account Custom 4,Account Custom 5,Account Custom 6,Allow ISA Duration,Override Individual Accountability,Require Multi-Group Approval,Multi-Group Approver Names,Restart Services Flag,Change Scheduled Tasks Flag,Password Check Profile,Password Change Profile,Enable Before Release Flag,Account DN,Require Ticket for PSM Request
klbatchsyswithveryverylongname,klbatchacc,grain41R,0,120,Y,23:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,10080,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,1,N,1,N,N,,,,,,,N,N,,,,,,,,,Y
klbatchsys8,klbatchacc,grain41R,0,150,N,0:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,10020,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,2,N,2,N,N,,,,,,,Y,N,,,,,,,,,Y
klbatchsys7,klbatchacc,grain41R,0,180,Y,1:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,9960,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,3,N,1,N,N,,,,,,,N,N,,,,,,,,,Y
klbatchsys62,klbatchacc,grain41R,0,210,Y,2:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,9900,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,4,N,2,N,N,,,,,,,Y,N,,,,,,,Y,,Y
klbatchsys61,klbatchacc,grain41R,0,240,Y,3:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,9840,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,5,N,1,N,N,,,,,,,N,N,,,,,,,,,Y
klbatchsys60,klbatchacc,grain41R,0,270,Y,4:00,,Default Password Rule,Y,Y,3,,kltest@tpam.spb.qsft,N,N,N,9780,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,6,N,2,N,N,,,,,,,Y,N,,,Y,Y,,,N,,
klbatchsys6,klbatchacc,grain41R,0,300,Y,5:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,9720,my description,N,,N,Y,N,ticket@mail,1,Any,,klescalate@tpam.spb.qsft,7,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys59,klbatchacc,grain41R,0,330,N,6:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,9660,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,8,N,2,N,Y,,,,,,,Y,N,,,,,,,,,
klbatchsys58,klbatchacc,grain41R,0,360,Y,7:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,9600,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,9,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys57,klbatchacc,grain41R,0,390,N,8:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,9540,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,10,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys56,klbatchacc,grain41R,0,420,Y,9:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,9480,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,11,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys55,klbatchacc,grain41R,0,450,N,10:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,9420,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,12,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys54,klbatchacc,grain41R,0,480,Y,11:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,9360,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,13,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys53,klbatchacc,grain41R,0,510,N,12:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,9300,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,14,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys52,klbatchacc,grain41R,0,540,Y,13:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,9240,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,15,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys51,klbatchacc,grain41R,0,600,N,14:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,9180,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,16,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys50,klbatchacc,grain41R,0,630,Y,15:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,9120,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,17,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys5,klbatchacc,grain41R,0,660,N,16:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,9060,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,18,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys49,klbatchacc,grain41R,0,690,Y,17:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,9000,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,19,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys48,klbatchacc,grain41R,0,720,N,18:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,8940,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,20,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys47,klbatchacc,grain41R,0,750,Y,19:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,8880,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,21,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys46,klbatchacc,grain41R,0,780,N,20:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,8820,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,22,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys45,klbatchacc,grain41R,0,810,N,21:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,8760,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,23,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys44,klbatchacc,grain41R,0,840,N,22:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,8700,my description,N,,N,N,N,,2,Group,Global Reviewer Group,klescalate@tpam.spb.qsft,24,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys43,klbatchacc,grain41R,0,870,Y,23:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,8640,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,25,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys42,klbatchacc,grain41R,0,900,N,0:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,8580,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,26,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys41,klbatchacc,grain41R,0,930,Y,1:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,8520,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,27,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys40,klbatchacc,grain41R,0,960,N,2:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,8460,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,28,N,2,N,N,,,,,,,Y,N,,,,,,,,,
