Descriptive Comment,Logon Hours Flag,Logon Hours,User Name,Last Name,First Name,Email ID,Phone,Pager,User Type,User Interface,Initial Password,Account Disabled,Secondary Authentication,Secondary UserID,Secondary Authentication System,Primary Authentication,Primary UserID,Primary Authentication System,Mobile Access Allowed,User Local Timezone,Daylight Saving Time Flag,Logon Days,Template User Name,Primary Auth Extra,User Custom 1,User Custom 2,User Custom 3,User Custom 4,User Custom 5,User Custom 6,Certificate Thumbprint
desc,A,09:00-18:00,klbatchuser1,Doe,John,klbatchuser@tpam.spb.qsft,111,222,Basic,Web,,N,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,A,09:00-18:01,klbatchuser10,Doe,Jane,klbatchuser@tpam.spb.qsft,111,222,User Admin,Web,,N,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,A,09:00-18:02,klbatchuser11,Doe,John,klbatchuser@tpam.spb.qsft,111,222,User Admin,CLI,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,A,09:00-18:03,klbatchuser12,Doe,Jane,klbatchuser@tpam.spb.qsft,111,222,User Admin,API,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,A,09:00-18:04,klbatchuser2,Doe,John,klbatchuser@tpam.spb.qsft,111,222,Basic,CLI,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,A,09:00-18:05,klbatchuser3,Doe,Jane,klbatchuser@tpam.spb.qsft,111,222,Basic,API,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,A,00:00-23:59,klbatchuserwithveryverybigname,Doe,John,klbatchuser@tpam.spb.qsft,111,222,Administrator,Web,,N,,,,Local,,Local,Y,(UTC-07:00) Arizona,N,XX-----,,,,,,,,,
desc,N,,klbatchuser5,Doe,Jane,klbatchuser@tpam.spb.qsft,111,222,Administrator,CLI,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,N,,klbatchuser6,Doe,John,klbatchuser@tpam.spb.qsft,111,222,Administrator,API,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,N,,klbatchuser7,Doe,Jane,klbatchuser@tpam.spb.qsft,111,222,Auditor,Web,,N,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,N,,klbatchuser8,Doe,John,klbatchuser@tpam.spb.qsft,111,222,Auditor,CLI,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,N,,klbatchuser9,Doe,Jane,klbatchuser@tpam.spb.qsft,111,222,Auditor,API,,N/A,,,,Local,,Local,N,Server,,,,,,,,,,,
desc,,,klbatchusercache,Doe,John,klbatchuser@tpam.spb.qsft,111,,Cache,,,,,,,,,,,,,,,,,,,,,,
