SystemName	AccountName	Password	ChangeFrequency	ReleaseDuration	AcctAutoFl	ChangeTime	PasswordRule	SvcChangeFl	UseSelfFl	MinApprovers	DomainAcctName	RelNotifyEmail	CheckFl	ResetFl	ReleaseChgFl	MaxReleaseDuration	Description	TicketSystemName	RequireTixForRequest	RequireTixForISA	RequireTixForCLI	RequireTixForAPI	TixEmailNotify	ReviewCnt	ReviewerTypeDesc	ReviewerDesc	EscalationTime	EscalationEmail	AcctLockFl	SimulPrivAccReleases	BlockAutoChangeFl	IgnoreSystemPolicies	AccountCustom1	AccountCustom2	AccountCustom3	AccountCustom4	AccountCustom5	AccountCustom6	AllowISADurationFl	SystemTemplateFl	OverrideAccountabilityFl	SvcRestartFl	ChgTaskFl	RequireMultiGroupApprovalFl	MultiGroupApproverNames	PasswordChangeProfile	DisableChangeScheduleFl	PasswordCheckProfile	DisableCheckScheduleFl	AcctDN	EnableBeforeReleaseFl	RequireTixForPSM
klbatchsys3	klbatchacc			1320	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7740	my description		N	N	N	N		2	Auditor		40	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys30	klbatchacc			1290	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				7800	my description		N	N	N	N		1	Any		39	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	N
klbatchsys31	klbatchacc			1260	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				7860	my description		N	N	N	N		2	Auditor		38	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys32	klbatchacc			1230	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7920	my description		N	N	N	N		1	Any		37	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys33	klbatchacc			1200	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				7980	my description		N	N	N	N		2	Auditor		36	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys34	klbatchacc			1170	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8040	my description		N	N	N	N		1	Any		35	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys35	klbatchacc			1140	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8100	my description		N	N	N	N		2	Auditor		34	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys36	klbatchacc			1110	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8160	my description		N	N	N	N		1	Any		33	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys37	klbatchacc			1080	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8220	my description		N	N	N	N		2	Auditor		32	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys38	klbatchacc			1050	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8280	my description		N	N	N	N		1	Any		31	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys39	klbatchacc			1020	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8340	my description		N	N	N	N		2	Auditor		30	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys4	klbatchacc			990	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8400	my description		N	N	N	N		1	Any		29	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys40	klbatchacc			960	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8460	my description		N	N	N	N		2	Auditor		28	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys41	klbatchacc			930	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8520	my description		N	N	N	N		1	Any		27	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys43	klbatchacc			870	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8640	my description		N	N	N	N		1	Any		25	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys44	klbatchacc			840	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8700	my description		N	N	N	N		2	Auditor		24	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys45	klbatchacc			810	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8760	my description		N	N	N	N		1	Any		23	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N			N		N		N	N
klbatchsys46	klbatchacc			780	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8820	my description		N	N	N	N		2	Auditor		22	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
