SystemName	AccountName	Password	ChangeFrequency	ReleaseDuration	AcctAutoFl	ChangeTime	PasswordRule	SvcChangeFl	UseSelfFl	MinApprovers	DomainAcctName	RelNotifyEmail	CheckFl	ResetFl	ReleaseChgFl	MaxReleaseDuration	Description	TicketSystemName	RequireTixForRequest	RequireTixForISA	RequireTixForCLI	RequireTixForAPI	TixEmailNotify	ReviewCnt	ReviewerTypeDesc	ReviewerDesc	EscalationTime	EscalationEmail	AcctLockFl	SimulPrivAccReleases	BlockAutoChangeFl	IgnoreSystemPolicies	AccountCustom1	AccountCustom2	AccountCustom3	AccountCustom4	AccountCustom5	AccountCustom6	AllowISADurationFl	SystemTemplateFl	OverrideAccountabilityFl	SvcRestartFl	ChgTaskFl	RequireMultiGroupApprovalFl	MultiGroupApproverNames	PasswordChangeProfile	DisableChangeScheduleFl	PasswordCheckProfile	DisableCheckScheduleFl	AcctDN	EnableBeforeReleaseFl	RequireTixForPSM
klbatchsys1	klbatchacc			1980	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				6420	my description		N	N	N	N		2	Auditor		62	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys10	klbatchacc			1950	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				6480	my description		N	N	N	N		1	Any		61	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	N
klbatchsys101	klbatchacc			1980	Y		PersPwdRule	N	N	2		kltest@tpam.spb.qsft				6420	my description		N	N	N	N		2	Auditor		62	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N	cn=klbatchacc,dc=kllinux,dc=spb,dc=qsft	N	Y
klbatchsys11	klbatchacc			1920	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				6540	my description		N	N	N	N		2	Auditor		60	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys12	klbatchacc			1890	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				6600	my description		N	N	N	N		1	Any		59	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_2	N		N	Y
klbatchsys13	klbatchacc			1860	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				6660	my description		N	N	N	N		2	Auditor		58	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys14	klbatchacc			1830	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				6720	my description		N	N	N	N		1	Any		57	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_1	N		N	Y
klbatchsys15	klbatchacc			1800	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				6780	my description		N	N	N	N		2	Auditor		56	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys16	klbatchacc			1770	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				6840	my description		N	N	N	N		1	Any		55	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	Y
klbatchsys17	klbatchacc			1740	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				6900	my description		N	N	N	N		2	Auditor		54	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys18	klbatchacc			1710	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				6960	my description		N	N	N	N		1	Any		53	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	Y
klbatchsys19	klbatchacc			1680	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7020	my description		N	N	N	N		2	Auditor		52	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys2	klbatchacc			1650	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				7080	my description		N	N	N	N		1	Any		51	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	Y
klbatchsys20	klbatchacc			1620	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				7140	my description		Y	Y	Y	Y		2	Auditor		50	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys21	klbatchacc			1590	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7200	my description		N	N	N	N		1	Any		49	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	Y
klbatchsys22	klbatchacc			1560	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				7260	my description		N	N	N	N		2	Auditor		48	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys23	klbatchacc			1530	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				7320	my description		N	N	N	N		1	Any		47	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	Y
klbatchsys24	klbatchacc			1500	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7380	my description		N	N	N	N		2	Auditor		46	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
