System Name,Account Name,Current Password,Auto-Password Mgmt,Password Check Profile,Password Change Profile
NSsystem1,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem2,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem3,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem4,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem5,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem6,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem7,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem8,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem9,NSaccount,password,Y,NotifyTest,NotifyTest
NSsystem10,NSaccount,password,Y,NotifyTest,NotifyTest
