System Name,Network Address,Platform Name,Auto-Password Mgmt,Functional Account,Account Credential,Password Check Profile,Password Change Profile,Profile Certificate Type,Profile Certificate Password
NSsystem1,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem2,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem3,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem4,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem5,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem6,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem7,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem8,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem9,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
NSsystem10,x.x.x.x,Windows,Y,funcacc,cred,PersPassCheckProfile_1,PersPassChangeProfile_1,G,qwe123
